crop_id,summary_en,summary_tl,growing_conditions_en,growing_conditions_tl,soil_notes_en,soil_notes_tl,reference_sources,data_kind,dataset_version,method_note
cauliflower,A cool-season vegetable that forms a pale flower head.,Gulay itong malamig na panahon ang gusto at bumubuo ng maputing kumpol na bulaklak.,"Mild temperatures, sun, and steady water support head quality.","Nakakatulong ang banayad na temperatura, araw, at regular na tubig sa kumpol.",Use fertile soil with organic matter and good drainage.,Gumamit ng matabang lupang may organikong bagay at maayos na paagusan.,TANIM-SYNTH-CROP-PROFILE-V1,synthetic_demo,demo-2026-09-v2,Simple crop context for the demo. It is not local agronomic advice or a yield guarantee.
chili_pepper,"A pepper crop grown for its hot, slender fruits.",Paminta itong itinatanim para sa maanghang at pahabang bunga.,Warm sun and regular water support flowering and fruit set.,Nakakatulong ang mainit na araw at regular na tubig sa pamumulaklak at bunga.,"Use fertile, well-drained soil and avoid long periods of flooding.",Gumamit ng matabang lupang maayos ang paagusan at iwasan ang matagal na baha.,TANIM-SYNTH-CROP-PROFILE-V1,synthetic_demo,demo-2026-09-v2,Simple crop context for the demo. It is not local agronomic advice or a yield guarantee.
cucumber,A fast-growing vine that produces crisp fruits.,Mabilis lumaking baging ito na namumunga ng malutong na pipino.,"Warm weather, sun, and steady water help the vine fruit.","Gusto nito ang init, araw, at pantay na tubig habang namumunga.",Use loose fertile soil and a support system when space is limited.,Gumamit ng maluwag na matabang lupa at balag kung maliit ang espasyo.,TANIM-SYNTH-CROP-PROFILE-V1,synthetic_demo,demo-2026-09-v2,Simple crop context for the demo. It is not local agronomic advice or a yield guarantee.
eggplant,A warm-season vegetable with smooth purple or pale fruit.,Gulay itong mahilig sa init at may makinis na lila o mapusyaw na bunga.,Warm sun and regular water support continued fruiting.,"Nakakatulong ang init, araw, at regular na tubig sa tuloy-tuloy na pamumunga.",Use fertile loam that drains well and holds moderate moisture.,Pumili ng matabang loam na umaagos ang tubig at may katamtamang kahalumigmigan.,TANIM-SYNTH-CROP-PROFILE-V1,synthetic_demo,demo-2026-09-v2,Simple crop context for the demo. It is not local agronomic advice or a yield guarantee.
garlic,A bulb crop used as a strong-flavored cooking ingredient.,Ugat-bulb ito na ginagamit na pampalasa sa maraming lutuin.,"Mild weather, sun, and a drier period near harvest help bulb formation.","Mas angkop ang banayad na panahon, araw, at mas tuyong panahon bago anihin.","Use loose, well-drained soil so bulbs do not stay wet.",Gumamit ng maluwag at maayos ang paagusan na lupa para hindi mabasa ang bulb.,TANIM-SYNTH-CROP-PROFILE-V1,synthetic_demo,demo-2026-09-v2,Simple crop context for the demo. It is not local agronomic advice or a yield guarantee.
ginger,"A rhizome crop used fresh, dried, and as a cooking spice.","Rhizome itong ginagamit na sariwa, tuyo, at pampalasa sa pagluluto.","Warm conditions, filtered sun, and regular moisture support rhizomes.","Nakakatulong ang init, bahagyang lilim, at regular na kahalumigmigan sa rhizome.",Use loose soil rich in organic matter with good drainage.,Gumamit ng maluwag na lupang may organikong bagay at maayos na paagusan.,TANIM-SYNTH-CROP-PROFILE-V1,synthetic_demo,demo-2026-09-v2,Simple crop context for the demo. It is not local agronomic advice or a yield guarantee.
guava,A fruit tree with fragrant fruit that may be eaten fresh.,Punong namumunga ito ng mabangong bayabas na maaaring kainin nang sariwa.,Warm sun and regular moisture help the tree grow and fruit.,Nakakatulong ang mainit na araw at regular na tubig sa paglaki at bunga.,"Use deep, fertile soil that drains excess water.",Gumamit ng malalim at matabang lupang umaagos ang sobrang tubig.,TANIM-SYNTH-CROP-PROFILE-V1,synthetic_demo,demo-2026-09-v2,Simple crop context for the demo. It is not local agronomic advice or a yield guarantee.
lemongrass,"An aromatic grass used in soups, drinks, and seasoning.","Mabangong damo ito na ginagamit sa sabaw, inumin, at pampalasa.",Warm sun and regular moisture support strong leafy clumps.,Nakakatulong ang mainit na araw at regular na tubig sa malalaking kumpol ng dahon.,Use ordinary fertile soil that drains well and is not waterlogged.,Gumamit ng matabang lupang maayos ang paagusan at hindi binabaha.,TANIM-SYNTH-CROP-PROFILE-V1,synthetic_demo,demo-2026-09-v2,Simple crop context for the demo. It is not local agronomic advice or a yield guarantee.
lettuce,A leafy crop used fresh in salads and simple meals.,Madahong gulay ito na karaniwang sariwa sa salad at magagaan na pagkain.,"Cool conditions and light, regular water help keep leaves tender.",Mas gusto nito ang malamig na kondisyon at banayad na regular na dilig.,Use fertile soil with good drainage and enough organic matter.,Gumamit ng matabang lupang maayos ang paagusan at may organikong bagay.,TANIM-SYNTH-CROP-PROFILE-V1,synthetic_demo,demo-2026-09-v2,Simple crop context for the demo. It is not local agronomic advice or a yield guarantee.
mango,A long-lived fruit tree with sweet seasonal fruit.,Pangmatagalang puno ito na namumunga ng matamis na prutas sa panahon nito.,Warm sun and a dry period can support flowering before fruiting.,Nakakatulong ang mainit na araw at tuyong panahon bago mamulaklak.,Use deep soil with good drainage and room for a large root system.,Pumili ng malalim na lupang maayos ang paagusan at may espasyo para sa ugat.,TANIM-SYNTH-CROP-PROFILE-V1,synthetic_demo,demo-2026-09-v2,Simple crop context for the demo. It is not local agronomic advice or a yield guarantee.
mung_bean,A short-season legume grown for small green beans.,Maikling-panahong legume ito na itinatanim para sa maliliit na butil.,Warm weather and moderate water suit the crop.,Angkop dito ang mainit na panahon at katamtamang tubig.,Use well-drained soil and avoid standing water around the roots.,Gumamit ng lupang maayos ang paagusan at iwasan ang tubig na nakatigil.,TANIM-SYNTH-CROP-PROFILE-V1,synthetic_demo,demo-2026-09-v2,Simple crop context for the demo. It is not local agronomic advice or a yield guarantee.
okra,A warm-season vegetable with edible tender pods.,Gulay itong mahilig sa init at may malalambot na pod na kinakain.,Warm sun and regular picking help the plant keep producing pods.,"Nakakatulong ang init, araw, at regular na pamimitas para patuloy ang pod.",Use fertile soil that drains well and holds moderate moisture.,Pumili ng matabang lupang maayos ang paagusan at may katamtamang kahalumigmigan.,TANIM-SYNTH-CROP-PROFILE-V1,synthetic_demo,demo-2026-09-v2,Simple crop context for the demo. It is not local agronomic advice or a yield guarantee.
onion,A bulb crop used for flavor in many everyday dishes.,Ugat-bulb ito na pampalasa sa maraming pang-araw-araw na lutuin.,"Mild weather, sun, and a drier finish help bulbs mature.","Mas gusto nito ang banayad na panahon, araw, at tuyong panahon bago anihin.","Use loose, fertile soil that does not hold water around bulbs.",Gumamit ng maluwag at matabang lupang hindi nag-iipon ng tubig sa bulb.,TANIM-SYNTH-CROP-PROFILE-V1,synthetic_demo,demo-2026-09-v2,Simple crop context for the demo. It is not local agronomic advice or a yield guarantee.
papaya,A fast-growing fruit tree that can bear fruit over a long season.,Mabilis lumaking puno ito na maaaring mamunga sa mahabang panahon.,"Warm sun and steady moisture support leaves, flowers, and fruit.","Nakakatulong ang init, araw, at regular na tubig sa dahon, bulaklak, at bunga.","Use deep, fertile soil with strong drainage around the stem.",Gumamit ng malalim at matabang lupang mabilis umagos ang tubig sa puno.,TANIM-SYNTH-CROP-PROFILE-V1,synthetic_demo,demo-2026-09-v2,Simple crop context for the demo. It is not local agronomic advice or a yield guarantee.
peanut,A legume that develops its pods below the soil surface.,Legume itong bumubuo ng pod sa ilalim ng lupa.,Warm weather and a mostly dry harvest period suit peanut.,Angkop dito ang init at mas tuyong panahon bago anihin.,Use loose sandy loam so pods can form and be lifted easily.,Gumamit ng maluwag na sandy loam para mabuo at madaling mahukay ang pod.,TANIM-SYNTH-CROP-PROFILE-V1,synthetic_demo,demo-2026-09-v2,Simple crop context for the demo. It is not local agronomic advice or a yield guarantee.
pechay,A quick leafy vegetable used in soups and stir-fries.,Mabilis lumaking madahong gulay ito para sa sabaw at ginisa.,"Mild weather, sun, and regular water support tender leaves.","Nakakatulong ang banayad na panahon, araw, at regular na tubig sa malambot na dahon.","Use fertile, well-drained soil with enough organic matter.",Gumamit ng matabang lupang maayos ang paagusan at may organikong bagay.,TANIM-SYNTH-CROP-PROFILE-V1,synthetic_demo,demo-2026-09-v2,Simple crop context for the demo. It is not local agronomic advice or a yield guarantee.
pineapple,A perennial fruit crop that forms one fruit on each mature plant.,Pangmatagalang prutas ito na karaniwang isang bunga bawat hustong halaman.,Warm sun and moderate moisture support leaf and fruit growth.,"Nakakatulong ang init, araw, at katamtamang tubig sa dahon at bunga.","Use acidic, well-drained soil and avoid standing water.",Pumili ng bahagyang maasim na lupang maayos ang paagusan at walang nakatigil na tubig.,TANIM-SYNTH-CROP-PROFILE-V1,synthetic_demo,demo-2026-09-v2,Simple crop context for the demo. It is not local agronomic advice or a yield guarantee.
purple_yam,A climbing root crop known for its purple underground tuber.,Baging itong ugat na gulay na kilala sa lilang tuber sa ilalim ng lupa.,Warm weather and a long season support tuber growth.,Nakakatulong ang init at mahabang panahon sa paglaki ng tuber.,"Use deep, loose soil so tubers can enlarge without standing water.",Gumamit ng malalim at maluwag na lupang walang naiipong tubig.,TANIM-SYNTH-CROP-PROFILE-V1,synthetic_demo,demo-2026-09-v2,Simple crop context for the demo. It is not local agronomic advice or a yield guarantee.
squash,A spreading vine with large fruit used in many local dishes.,Baging itong kumakalat at may malaking bungang ginagamit sa maraming lutuin.,"Warm sun, space, and regular water help vines set fruit.","Kailangan nito ng init, araw, espasyo, at regular na tubig para mamunga.",Use fertile soil with good drainage and room for the roots.,Gumamit ng matabang lupang maayos ang paagusan at may espasyo sa ugat.,TANIM-SYNTH-CROP-PROFILE-V1,synthetic_demo,demo-2026-09-v2,Simple crop context for the demo. It is not local agronomic advice or a yield guarantee.
string_bean,A climbing bean harvested while the pods are still tender.,Baging itong bean na inaani habang malambot pa ang pod.,"Warm weather, sun, and a trellis support a long picking period.","Nakakatulong ang init, araw, at balag sa mahabang panahon ng pamimitas.","Use fertile, well-drained soil with moderate moisture.",Gumamit ng matabang lupang maayos ang paagusan at may katamtamang tubig.,TANIM-SYNTH-CROP-PROFILE-V1,synthetic_demo,demo-2026-09-v2,Simple crop context for the demo. It is not local agronomic advice or a yield guarantee.
sweet_potato,A spreading root crop that forms edible storage roots.,Gumagapang itong ugat na gulay na bumubuo ng nakakain na ugat.,Warm weather and moderate moisture support root bulking.,Nakakatulong ang init at katamtamang kahalumigmigan sa paglaki ng ugat.,Use loose soil that drains well so roots can expand.,Gumamit ng maluwag at maayos ang paagusan na lupa para lumaki ang ugat.,TANIM-SYNTH-CROP-PROFILE-V1,synthetic_demo,demo-2026-09-v2,Simple crop context for the demo. It is not local agronomic advice or a yield guarantee.
taro,A root crop that grows edible corms and broad leaves.,Ugat na gulay ito na may nakakain na corm at malalapad na dahon.,"Warm, moist conditions support corm and leaf growth.",Nakakatulong ang mainit at mamasa-masang kondisyon sa corm at dahon.,"Use moisture-holding soil, but keep the planting area from stagnant water.",Gumamit ng lupang may kahalumigmigan pero walang matagal na nakatigil na tubig.,TANIM-SYNTH-CROP-PROFILE-V1,synthetic_demo,demo-2026-09-v2,Simple crop context for the demo. It is not local agronomic advice or a yield guarantee.
tomato,"A fruiting vegetable used fresh, cooked, and in sauces.","Bungang gulay ito na ginagamit na sariwa, luto, at sawsawan o sarsa.","Warm sun, regular water, and support for branches help fruiting.","Nakakatulong ang init, araw, regular na tubig, at suporta sa mga sanga.",Use fertile loam with good drainage and avoid waterlogged roots.,Pumili ng matabang loam na maayos ang paagusan at hindi binabaha ang ugat.,TANIM-SYNTH-CROP-PROFILE-V1,synthetic_demo,demo-2026-09-v2,Simple crop context for the demo. It is not local agronomic advice or a yield guarantee.
turmeric,"A rhizome crop used for color, flavor, and traditional cooking.","Rhizome itong ginagamit sa kulay, lasa, at tradisyonal na pagluluto.","Warm conditions, filtered sun, and steady moisture support rhizomes.","Nakakatulong ang init, bahagyang lilim, at regular na kahalumigmigan sa rhizome.",Use loose soil rich in organic matter with good drainage.,Gumamit ng maluwag na lupang may organikong bagay at maayos na paagusan.,TANIM-SYNTH-CROP-PROFILE-V1,synthetic_demo,demo-2026-09-v2,Simple crop context for the demo. It is not local agronomic advice or a yield guarantee.
watermelon,"A warm-season vine that produces large, water-rich fruit.",Baging itong mahilig sa init at may malaking bungang maraming tubig.,"Warm sun, open space, and steady water support fruit filling.","Kailangan nito ng init, araw, maluwag na espasyo, at regular na tubig.",Use sandy loam that drains well so vines and fruit stay healthy.,Gumamit ng sandy loam na maayos ang paagusan para sa baging at bunga.,TANIM-SYNTH-CROP-PROFILE-V1,synthetic_demo,demo-2026-09-v2,Simple crop context for the demo. It is not local agronomic advice or a yield guarantee.
